iter	Logloss
0	0.6931461623
1	0.6931451818
2	0.6931449307
3	0.6931424231
4	0.6931381197
5	0.6931341353
6	0.6931319811
7	0.693129279
8	0.6931292016
9	0.6931176477
10	0.6931176477
11	0.6931176146
12	0.6931176146
13	0.6931151164
14	0.6931074038
15	0.6931007932
16	0.6930927769
17	0.6930913536
18	0.6930842125
19	0.6930833395
20	0.6930833395
21	0.6930832484
22	0.6930771001
23	0.6930728299
24	0.693070847
25	0.693067475
26	0.6930650357
27	0.693064704
28	0.6930634692
29	0.6930631944
30	0.6930618136
31	0.6930561719
32	0.6930561719
33	0.6930559911
34	0.693055269
35	0.6930470009
36	0.6930436213
37	0.6930436213
38	0.6930417802
39	0.6930375841
40	0.6930348915
41	0.6930347407
42	0.6930347407
43	0.6930295812
44	0.6930290558
45	0.6930284569
46	0.6930269466
47	0.6930255575
48	0.6930243112
49	0.6930241455
50	0.6930238272
51	0.6930224798
52	0.6930223988
53	0.6930223988
54	0.6930223753
55	0.6930215474
56	0.6930159325
57	0.6930146718
58	0.6930143787
59	0.6930137071
60	0.6930128908
61	0.6930120734
62	0.6930120734
63	0.6930118988
64	0.6930103235
65	0.6930094559
66	0.6930077694
67	0.6930076343
68	0.693007121
69	0.6929978577
70	0.692996972
71	0.6929887224
72	0.6929857045
73	0.6929857045
74	0.6929841692
75	0.6929815715
76	0.6929770671
77	0.692972264
78	0.692964285
79	0.6929626502
80	0.6929626502
81	0.6929535202
82	0.6929521037
83	0.692944395
84	0.6929375842
85	0.6929365401
86	0.6929286706
87	0.6929251891
88	0.6929251891
89	0.6929138279
90	0.6929136039
91	0.6929068057
92	0.6929050913
93	0.6929016576
94	0.6928990571
95	0.6928990571
96	0.6928962749
97	0.6928962749
98	0.6928962749
99	0.6928907146
100	0.6928902395
101	0.6928887935
102	0.6928852794
103	0.6928830183
104	0.6928799543
105	0.6928799429
106	0.6928799429
107	0.6928790307
108	0.6928760036
109	0.6928756687
110	0.6928734165
111	0.6928729458
112	0.6928729458
113	0.6928707283
114	0.6928707283
115	0.692870609
116	0.6928651615
117	0.6928629088
118	0.6928629088
119	0.692861073
120	0.6928597912
121	0.6928585051
122	0.6928498642
123	0.6928433425
124	0.6928425783
125	0.6928422769
126	0.6928408727
127	0.6928400536
128	0.6928386993
129	0.6928362125
130	0.6928350091
131	0.6928330467
132	0.6928330467
133	0.6928310977
134	0.6928230234
135	0.6928206352
136	0.692818534
137	0.6928147832
138	0.6928142369
139	0.6928124619
140	0.6928119269
141	0.6928119269
142	0.6928119269
143	0.69281144
144	0.6928104284
145	0.6928073593
146	0.6928067469
147	0.6928054622
148	0.6928042463
149	0.6928039192
150	0.6928022522
151	0.6928019789
152	0.6927992258
153	0.6927958128
154	0.6927957012
155	0.6927957012
156	0.6927919864
157	0.6927906805
158	0.6927906805
159	0.6927895405
160	0.6927895405
161	0.6927895405
162	0.6927890015
163	0.6927877421
164	0.6927866418
165	0.6927865659
166	0.6927865659
167	0.6927860115
168	0.6927753268
169	0.6927737187
170	0.6927713465
171	0.6927689508
172	0.692757132
173	0.6927567627
174	0.6927557692
175	0.6927534296
176	0.6927516927
177	0.6927512252
178	0.6927497179
179	0.6927482217
180	0.6927482217
181	0.6927473962
182	0.692746404
183	0.6927454215
184	0.6927368341
185	0.6927346009
186	0.6927310688
187	0.6927296419
188	0.6927269249
189	0.6927266975
190	0.6927244787
191	0.6927167313
192	0.6927139238
193	0.692712659
194	0.6927117497
195	0.6927047191
196	0.6927047191
197	0.6927033607
198	0.6927024597
199	0.6927024597
200	0.6926993738
201	0.6926955197
202	0.692692436
203	0.6926873582
204	0.6926864511
205	0.6926825649
206	0.6926808792
207	0.6926792888
208	0.692679199
209	0.692677145
210	0.692675115
211	0.692675115
212	0.6926740804
213	0.6926738963
214	0.6926738963
215	0.6926678499
216	0.6926612913
217	0.6926612825
218	0.6926591243
219	0.6926581309
220	0.6926581309
221	0.6926563865
222	0.6926550001
223	0.6926529557
224	0.6926526535
225	0.6926517582
226	0.6926506318
227	0.6926450874
228	0.6926439159
229	0.6926416208
230	0.6926413014
231	0.6926381007
232	0.6926279182
233	0.6926209675
234	0.6926117706
235	0.6926099636
236	0.6926099636
237	0.6926090861
238	0.6926090861
239	0.6926073237
240	0.6926026634
241	0.6926018444
242	0.6925981738
243	0.6925948161
244	0.692592652
245	0.6925910992
246	0.6925803178
247	0.6925801325
248	0.6925770937
249	0.6925770937
250	0.6925770937
251	0.6925738767
252	0.6925665406
253	0.6925665406
254	0.6925645046
255	0.692564478
256	0.6925630937
257	0.6925624476
258	0.6925613732
259	0.692558498
260	0.6925512716
261	0.6925512716
262	0.6925510994
263	0.6925492489
264	0.6925492489
265	0.6925460498
266	0.6925458699
