iter	Passed	Remaining
0	174	86867
1	231	57685
2	293	48559
3	351	43536
4	452	44788
5	517	42618
6	578	40762
7	672	41346
8	717	39138
9	769	37713
10	783	34808
11	826	33620
12	833	31229
13	911	31651
14	1017	32908
15	1093	33076
16	1164	33073
17	1237	33141
18	1308	33120
19	1363	32735
20	1376	31406
21	1412	30680
22	1496	31038
23	1559	30937
24	1619	30762
25	1675	30549
26	1758	30809
27	1831	30872
28	1931	31367
29	1987	31135
30	2082	31502
31	2189	32025
32	2205	31216
33	2268	31089
34	2283	30344
35	2361	30441
36	2427	30370
37	2436	29617
38	2524	29837
39	2597	29869
40	2685	30064
41	2703	29477
42	2716	28867
43	2773	28746
44	2868	29000
45	2948	29095
46	3025	29161
47	3133	29506
48	3332	30674
49	3369	30328
50	3399	29928
51	3456	29781
52	3492	29455
53	3506	28957
54	3544	28677
55	3622	28719
56	3701	28769
57	3743	28529
58	3793	28352
59	3876	28429
60	3956	28474
61	4006	28301
62	4017	27868
63	4065	27694
64	4148	27762
65	4218	27738
66	4311	27866
67	4349	27632
68	4425	27644
69	4484	27545
70	4493	27148
71	4565	27140
72	4641	27147
73	4647	26755
74	4706	26671
75	4770	26614
76	4782	26271
77	4863	26313
78	4968	26479
79	5080	26670
80	5094	26352
81	5160	26307
82	5229	26274
83	5295	26224
84	5347	26107
85	5377	25886
86	5428	25771
87	5476	25641
88	5481	25311
89	5557	25315
90	5639	25348
91	5674	25163
92	5710	24989
93	5785	24987
94	5822	24823
95	5830	24534
96	5920	24598
97	5931	24331
98	5939	24059
99	6062	24250
100	6102	24109
101	6174	24092
102	6245	24072
103	6287	23938
104	6374	23978
105	6391	23757
106	6398	23500
107	6461	23451
108	6522	23396
109	6587	23355
110	6619	23198
111	6655	23056
112	6664	22824
113	6706	22707
114	6716	22486
115	6733	22290
116	6800	22259
117	6838	22137
118	6848	21927
119	6944	21991
120	7003	21935
121	7104	22013
122	7181	22011
123	7216	21882
124	7273	21820
125	7301	21671
126	7381	21678
127	7420	21566
128	7491	21545
129	7512	21381
130	7548	21261
131	7597	21180
132	7608	20995
133	7669	20948
134	7744	20938
135	7825	20945
136	7924	20998
137	8008	21007
138	8096	21028
139	8206	21101
140	8255	21018
141	8293	20909
142	8302	20728
143	8345	20632
144	8422	20620
145	8496	20601
146	8527	20478
147	8590	20430
148	8651	20381
149	8702	20305
150	8716	20146
151	8748	20030
152	8832	20032
153	8937	20079
154	8993	20017
155	9006	19860
156	9089	19858
157	9156	19820
158	9211	19756
159	9275	19710
160	9294	19569
161	9303	19411
162	9358	19348
163	9428	19316
164	9503	19294
165	9572	19261
166	9675	19292
167	9687	19145
168	9763	19123
169	9804	19031
170	9863	18977
171	9950	18974
172	10085	19064
173	10163	19042
174	10213	18967
175	10315	18990
176	10398	18975
177	10434	18875
178	10461	18761
179	10544	18745
180	10561	18614
181	10646	18601
182	10748	18618
183	10791	18534
184	10854	18482
185	10890	18385
186	10994	18402
187	11044	18328
188	11127	18310
189	11141	18177
190	11176	18081
191	11239	18030
192	11286	17952
193	11345	17895
194	11393	17819
195	11445	17751
196	11453	17616
197	11540	17602
198	11639	17605
199	11653	17480
200	11731	17451
201	11800	17408
202	11837	17319
203	11879	17236
204	11927	17163
205	11981	17099
206	12073	17089
207	12143	17047
208	12214	17006
209	12280	16959
210	12352	16918
211	12397	16842
212	12442	16765
213	12495	16699
214	12502	16572
215	12577	16536
216	12661	16512
217	12732	16470
218	12800	16424
219	12873	16385
220	12886	16268
221	12969	16241
222	13055	16216
223	13090	16129
224	13124	16041
225	13139	15930
226	13196	15870
227	13254	15812
228	13288	15726
229	13346	15667
230	13372	15572
231	13460	15549
232	13550	15527
233	13569	15425
234	13638	15379
235	13670	15292
236	13681	15182
237	13752	15139
238	13761	15028
