team,points,op team,op points,home away,season,vegas line,o/u margin,vegas line total,assists,ats streak,attendance,biggest lead,blocks,conference west/east,defensive rebounds,fast break points,field goals attempted,field goal percentage,fouls,free throws made,free throw percentage,lead changes,losses,margin after the first,margin at the half,matchup losses,matchup wins,offensive rebounds,officials,ou streak,overtime,points in the paint,rest,site streak,steals,streak,team rebounds,three pointers made,time of game,turnovers,wins,win percentage,matchup,o/u,WL,o/u margin class,time zone__C,time zone__M,time zone__P,division__Atlantic,division__Central,division__Northwest,division__Pacific,division__Southeast,division__Southwest,day__Friday,day__Monday,day__Saturday,day__Sunday,day__Thursday,day__Tuesday,day__Wednesday
Cavaliers,102,Celtics,99,1,2017,-3.5,-11.5,212.5,19.0,0,20562.0,18.0,4.0,0,41.0,11.0,83.0,45.78,25.0,21.0,84.0,11.0,0,10.0,16.0,0,0,9.0,"['Monty McCutchen', 'Michael Smith', 'Brian Forte']",0,0.0,50.0,1.1143310417768377,0,3.0,0,5.0,5.0,148.0,17.0,0,0.0,Cavaliers Celtics,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Celtics,99,Cavaliers,102,0,2017,3.5,-11.5,212.5,24.0,0,20562.0,4.0,4.0,0,37.0,16.0,88.0,40.91,24.0,19.0,76.0,11.0,0,-10.0,-16.0,0,0,9.0,"['Monty McCutchen', 'Michael Smith', 'Brian Forte']",0,0.0,42.0,1.1143310417768377,0,11.0,0,6.0,8.0,148.0,10.0,0,0.0,Celtics Cavaliers,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Warriors,121,Rockets,122,1,2017,-9.0,14.5,228.5,34.0,0,19596.0,17.0,9.0,1,35.0,36.0,80.0,53.75,25.0,19.0,90.48,2.0,0,1.0,9.0,0,0,6.0,"['Ron Garretson', 'Scott Foster', 'Tre Maddox']",0,0.0,32.0,1.1143310417768377,0,5.0,0,1.0,16.0,147.0,17.0,0,0.0,Warriors Rockets,1,-1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Rockets,122,Warriors,121,0,2017,9.0,14.5,228.5,28.0,0,19596.0,2.0,5.0,1,33.0,15.0,97.0,48.45,16.0,13.0,68.42,2.0,0,-1.0,-9.0,0,0,10.0,"['Ron Garretson', 'Scott Foster', 'Tre Maddox']",0,0.0,54.0,1.1143310417768377,0,9.0,0,10.0,15.0,147.0,12.0,0,0.0,Rockets Warriors,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Celtics,100,Bucks,108,1,2017,-2.0,2.0,206.0,23.0,1,18624.0,6.0,2.0,0,32.0,6.0,91.0,42.86,27.0,11.0,52.38,14.0,1,2.0,-5.0,0,0,11.0,"['Mark Lindsay', 'Jason Goldenberg', 'Tom Washington']",-1,0.0,50.0,0.0,-1,12.0,-1,11.0,11.0,134.0,12.0,0,0.0,Celtics Bucks,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Bucks,108,Celtics,100,0,2017,2.0,2.0,206.0,19.0,0,18624.0,8.0,4.0,0,39.0,4.0,76.0,50.0,22.0,25.0,83.33,14.0,0,-2.0,5.0,0,0,6.0,"['Mark Lindsay', 'Jason Goldenberg', 'Tom Washington']",0,0.0,56.0,1.1143310417768377,0,6.0,0,6.0,7.0,134.0,15.0,0,0.0,Bucks Celtics,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Grizzlies,103,Pelicans,91,1,2017,-2.5,-11.0,205.0,19.0,0,17794.0,14.0,8.0,1,30.0,16.0,92.0,42.39,29.0,16.0,57.14,8.0,0,-7.0,2.0,0,0,15.0,"['Sean Corbin', 'Scott Twardoski', 'Gary Zielinski']",0,0.0,56.0,1.1143310417768377,0,9.0,0,14.0,9.0,141.0,11.0,0,0.0,Grizzlies Pelicans,0,1,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Pelicans,91,Grizzlies,103,0,2017,2.5,-11.0,205.0,15.0,0,17794.0,9.0,12.0,1,35.0,6.0,79.0,37.97,31.0,24.0,82.76,8.0,0,7.0,-2.0,0,0,16.0,"['Sean Corbin', 'Scott Twardoski', 'Gary Zielinski']",0,0.0,44.0,1.1143310417768377,0,4.0,0,9.0,7.0,141.0,18.0,0,0.0,Pelicans Grizzlies,0,-1,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Jazz,106,Nuggets,96,1,2017,-2.5,-3.5,205.5,28.0,0,17588.0,16.0,5.0,1,30.0,4.0,81.0,50.62,18.0,15.0,93.75,4.0,0,-9.0,-9.0,0,0,6.0,"['Jonathan Sterling', 'Leon Wood', 'Scott Foster']",0,0.0,54.0,1.1143310417768377,0,9.0,0,4.0,9.0,127.0,15.0,0,0.0,Jazz Nuggets,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Nuggets,96,Jazz,106,0,2017,2.5,-3.5,205.5,21.0,0,17588.0,15.0,3.0,1,31.0,12.0,77.0,46.75,18.0,11.0,91.67,4.0,0,9.0,9.0,0,0,7.0,"['Jonathan Sterling', 'Leon Wood', 'Scott Foster']",0,0.0,36.0,1.1143310417768377,0,4.0,0,5.0,13.0,127.0,21.0,0,0.0,Nuggets Jazz,0,-1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Kings,100,Rockets,105,1,2017,7.0,-12.5,217.5,19.0,0,17583.0,6.0,4.0,1,33.0,6.0,88.0,47.73,20.0,8.0,80.0,8.0,0,-1.0,-4.0,0,0,9.0,"['Derek Richardson', 'Bill Spooner', 'Kevin Scott']",0,0.0,56.0,1.1143310417768377,0,5.0,0,7.0,8.0,130.0,17.0,0,0.0,Kings Rockets,0,-1,-1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Rockets,105,Kings,100,0,2017,-7.0,-12.5,217.5,19.0,1,17583.0,11.0,3.0,1,32.0,3.0,83.0,39.76,14.0,27.0,93.1,8.0,0,1.0,4.0,0,0,12.0,"['Derek Richardson', 'Bill Spooner', 'Kevin Scott']",1,0.0,40.0,0.0,-1,7.0,1,7.0,12.0,130.0,14.0,1,0.0,Rockets Kings,0,1,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Magic,116,Heat,109,1,2017,3.5,19.5,205.5,22.0,0,18846.0,17.0,10.0,0,40.0,11.0,90.0,47.78,18.0,22.0,75.86,3.0,0,-5.0,3.0,0,0,11.0,"['Ed Malloy', 'Lauren Holtkamp', 'Karl Lane']",0,0.0,56.0,1.1143310417768377,0,8.0,0,9.0,8.0,134.0,14.0,0,0.0,Magic Heat,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
