date,team,points,o:team,o:points,total
20151027,Bulls,97,Cavaliers,95,197.5
20151027,Cavaliers,95,Bulls,97,197.5
20151027,Hawks,94,Pistons,106,197.5
20151027,Pistons,106,Hawks,94,197.5
20151027,Warriors,111,Pelicans,95,213.5
20151027,Pelicans,95,Warriors,111,213.5
20151028,Bucks,97,Knicks,122,194.5
20151028,Knicks,122,Bucks,97,194.5
20151028,Celtics,112,Seventysixers,95,198
20151028,Seventysixers,95,Celtics,112,198
20151028,Grizzlies,76,Cavaliers,106,187.5
20151028,Cavaliers,106,Grizzlies,76,187.5
20151028,Heat,104,Hornets,94,193.5
20151028,Hornets,94,Heat,104,193.5
20151028,Kings,104,Clippers,111,211.5
20151028,Clippers,111,Kings,104,211.5
20151028,Lakers,111,Timberwolves,112,202.5
20151028,Timberwolves,112,Lakers,111,202.5
20151028,Magic,87,Wizards,88,203.5
20151028,Wizards,88,Magic,87,203.5
20151028,Nets,100,Bulls,115,196.5
20151028,Bulls,115,Nets,100,196.5
20151028,Pistons,92,Jazz,87,190
20151028,Jazz,87,Pistons,92,190
20151028,Raptors,106,Pacers,99,199.5
20151028,Pacers,99,Raptors,106,199.5
20151028,Rockets,85,Nuggets,105,212
20151028,Nuggets,105,Rockets,85,212
20151028,Suns,95,Mavericks,111,204.5
20151028,Mavericks,111,Suns,95,204.5
20151028,Thunder,112,Spurs,106,208
20151028,Spurs,106,Thunder,112,208
20151028,Trailblazers,112,Pelicans,94,206
20151028,Pelicans,94,Trailblazers,112,206
20151029,Clippers,104,Mavericks,88,211.5
20151029,Mavericks,88,Clippers,104,211.5
20151029,Knicks,101,Hawks,112,199
20151029,Hawks,112,Knicks,101,199
20151029,Pacers,103,Grizzlies,112,190.5
20151029,Grizzlies,112,Pacers,103,190.5
20151030,Bucks,113,Wizards,118,200.5
20151030,Wizards,118,Bucks,113,200.5
20151030,Cavaliers,102,Heat,92,199.5
20151030,Heat,92,Cavaliers,102,199.5
20151030,Celtics,103,Raptors,113,202.5
20151030,Raptors,113,Celtics,103,202.5
20151030,Hawks,97,Hornets,94,194
20151030,Hornets,94,Hawks,97,194
20151030,Kings,132,Lakers,114,211
20151030,Lakers,114,Kings,132,211
20151030,Magic,136,Thunder,139,207
20151030,Thunder,139,Magic,136,207
20151030,Nuggets,78,Timberwolves,95,205
20151030,Timberwolves,95,Nuggets,78,205
20151030,Pistons,98,Bulls,94,202.5
20151030,Bulls,94,Pistons,98,202.5
20151030,Rockets,92,Warriors,112,215.5
20151030,Warriors,112,Rockets,92,215.5
20151030,Seventysixers,71,Jazz,99,186.5
20151030,Jazz,99,Seventysixers,71,186.5
20151030,Spurs,102,Nets,75,201.5
20151030,Nets,75,Spurs,102,201.5
20151030,Suns,110,Trailblazers,92,204
20151030,Trailblazers,92,Suns,110,204
20151031,Clippers,114,Kings,109,214.5
20151031,Kings,109,Clippers,114,214.5
20151031,Grizzlies,101,Nets,91,192
20151031,Nets,91,Grizzlies,101,192
20151031,Pacers,76,Jazz,97,191
20151031,Jazz,97,Pacers,76,191
20151031,Pelicans,120,Warriors,134,212.5
20151031,Warriors,134,Pelicans,120,212.5
