Date,Team,VegasLine
20151027,Bulls,197.5
20151027,Cavaliers,197.5
20151027,Hawks,197.5
20151027,Pistons,197.5
20151027,Warriors,213.5
20151027,Pelicans,213.5
20151028,Bucks,194.5
20151028,Knicks,194.5
20151028,Celtics,198
20151028,Seventysixers,198
20151028,Grizzlies,187.5
20151028,Cavaliers,187.5
20151028,Heat,193.5
20151028,Hornets,193.5
20151028,Kings,211.5
20151028,Clippers,211.5
20151028,Lakers,202.5
20151028,Timberwolves,202.5
20151028,Magic,203.5
20151028,Wizards,203.5
20151028,Nets,196.5
20151028,Bulls,196.5
20151028,Pistons,190
20151028,Jazz,190
20151028,Raptors,199.5
20151028,Pacers,199.5
20151028,Rockets,212
20151028,Nuggets,212
20151028,Suns,204.5
20151028,Mavericks,204.5
20151028,Thunder,208
20151028,Spurs,208
20151028,Trailblazers,206
20151028,Pelicans,206
20151029,Clippers,211.5
20151029,Mavericks,211.5
20151029,Knicks,199
20151029,Hawks,199
20151029,Pacers,190.5
20151029,Grizzlies,190.5
20151030,Bucks,200.5
20151030,Wizards,200.5
20151030,Cavaliers,199.5
20151030,Heat,199.5
20151030,Celtics,202.5
20151030,Raptors,202.5
20151030,Hawks,194
20151030,Hornets,194
20151030,Kings,211
20151030,Lakers,211
20151030,Magic,207
20151030,Thunder,207
20151030,Nuggets,205
20151030,Timberwolves,205
20151030,Pistons,202.5
20151030,Bulls,202.5
20151030,Rockets,215.5
20151030,Warriors,215.5
20151030,Seventysixers,186.5
20151030,Jazz,186.5
20151030,Spurs,201.5
20151030,Nets,201.5
20151030,Suns,204
20151030,Trailblazers,204
20151031,Clippers,214.5
20151031,Kings,214.5
20151031,Grizzlies,192
20151031,Nets,192
20151031,Pacers,191
20151031,Jazz,191
20151031,Pelicans,212.5
20151031,Warriors,212.5
20151031,Trailblazers,204.5
20151031,Suns,204.5
20151031,Wizards,205
20151031,Knicks,205
20151101,Bulls,199
20151101,Magic,199
20151101,Celtics,201.5
20151101,Spurs,201.5
20151101,Heat,206
20151101,Rockets,206
20151101,Hornets,194.5
20151101,Hawks,194.5
20151101,Lakers,213
20151101,Mavericks,213
20151101,Raptors,200.5
20151101,Bucks,200.5
20151101,Thunder,212
20151101,Nuggets,212
20151102,Clippers,209.5
20151102,Suns,209.5
20151102,Knicks,202.5
20151102,Spurs,202.5
20151102,Nets,196.5
20151102,Bucks,196.5
20151102,Rockets,216
20151102,Thunder,216
20151102,Seventysixers,195
20151102,Cavaliers,195
20151102,Timberwolves,205.5
20151102,Trailblazers,205.5
20151102,Warriors,203.5
20151102,Grizzlies,203.5
20151103,Heat,196
20151103,Hawks,196
20151103,Hornets,194
20151103,Bulls,194
20151103,Kings,197
20151103,Grizzlies,197
20151103,Lakers,205.5
20151103,Nuggets,205.5
20151103,Mavericks,204
20151103,Raptors,204
20151103,Pelicans,204.5
20151103,Magic,204.5
20151103,Pistons,200.5
20151103,Pacers,200.5
20151104,Bucks,195
20151104,Seventysixers,195
20151104,Cavaliers,204
20151104,Knicks,204
20151104,Hawks,196.5
20151104,Nets,196.5
20151104,Jazz,189.5
20151104,Trailblazers,189.5
20151104,Pacers,203
20151104,Celtics,203
20151104,Rockets,207.5
20151104,Magic,207.5
20151104,Suns,209
20151104,Kings,209
20151104,Thunder,211
20151104,Raptors,211
20151104,Warriors,219
20151104,Clippers,219
20151104,Wizards,201.5
20151104,Spurs,201.5
20151105,Bulls,211
20151105,Thunder,211
20151105,Mavericks,200.5
20151105,Hornets,200.5
20151105,Nuggets,189.5
20151105,Jazz,189.5
20151105,Timberwolves,197
20151105,Heat,197
20151105,Trailblazers,193.5
20151105,Grizzlies,193.5
20151106,Cavaliers,196
20151106,Seventysixers,196
20151106,Celtics,210
20151106,Wizards,210
20151106,Kings,215.5
20151106,Rockets,215.5
20151106,Knicks,196.5
20151106,Bucks,196.5
20151106,Magic,197
20151106,Raptors,197
20151106,Nets,207.5
20151106,Lakers,207.5
20151106,Pacers,195
20151106,Heat,195
20151106,Pelicans,206
20151106,Hawks,206
20151106,Suns,199
20151106,Pistons,199
20151106,Warriors,212.5
20151106,Nuggets,212.5
20151107,Bucks,192.5
20151107,Nets,192.5
20151107,Bulls,200.5
20151107,Timberwolves,200.5
20151107,Clippers,214
20151107,Rockets,214
20151107,Hawks,206
20151107,Wizards,206
20151107,Jazz,180
20151107,Grizzlies,180
20151107,Kings,220.5
20151107,Warriors,220.5
20151107,Mavericks,209.5
20151107,Pelicans,209.5
20151107,Seventysixers,192
20151107,Magic,192
20151107,Spurs,194
20151107,Hornets,194
20151108,Cavaliers,196
20151108,Pacers,196
20151108,Heat,190
20151108,Raptors,190
20151108,Knicks,209.5
20151108,Lakers,209.5
20151108,Thunder,212.5
20151108,Suns,212.5
20151108,Trailblazers,199.5
20151108,Pistons,199.5
20151109,Clippers,200
20151109,Grizzlies,200
20151109,Hawks,205
20151109,Timberwolves,205
20151109,Kings,203
20151109,Spurs,203
20151109,Nuggets,207
20151109,Trailblazers,207
20151109,Pacers,195
20151109,Magic,195
20151109,Seventysixers,198
20151109,Bulls,198
20151109,Warriors,208
20151109,Pistons,208
20151110,Bucks,202
20151110,Celtics,202
20151110,Cavaliers,187
20151110,Jazz,187
20151110,Heat,200
20151110,Lakers,200
20151110,Pelicans,211.5
20151110,Mavericks,211.5
20151110,Raptors,196.5
20151110,Knicks,196.5
20151110,Timberwolves,200
20151110,Hornets,200
20151110,Wizards,218
20151110,Thunder,218
20151111,Celtics,202.5
20151111,Pacers,202.5
20151111,Grizzlies,200
20151111,Warriors,200
20151111,Hawks,209
20151111,Pelicans,209
20151111,Hornets,198.5
20151111,Knicks,198.5
20151111,Kings,205
20151111,Pistons,205
20151111,Magic,200.5
20151111,Lakers,200.5
20151111,Mavericks,212.5
20151111,Clippers,212.5
20151111,Nuggets,196
20151111,Bucks,196
20151111,Rockets,206
20151111,Nets,206
20151111,Seventysixers,194
20151111,Raptors,194
20151111,Trailblazers,206
20151111,Spurs,206
20151112,Heat,183.5
20151112,Jazz,183.5
20151112,Suns,208
20151112,Clippers,208
20151112,Timberwolves,211
20151112,Warriors,211
20151113,Bulls,199
20151113,Hornets,199
20151113,Celtics,206
20151113,Hawks,206
20151113,Grizzlies,195
20151113,Trailblazers,195
20151113,Kings,203.5
20151113,Nets,203.5
20151113,Knicks,200.5
20151113,Cavaliers,200.5
20151113,Magic,187.5
20151113,Jazz,187.5
20151113,Mavericks,209
20151113,Lakers,209
20151113,Nuggets,211
20151113,Rockets,211
20151113,Pacers,200
20151113,Timberwolves,200
20151113,Raptors,205.5
20151113,Pelicans,205.5
20151113,Thunder,207
20151113,Seventysixers,207
20151114,Bucks,196
20151114,Cavaliers,196
20151114,Clippers,198
20151114,Pistons,198
20151114,Rockets,208.5
20151114,Mavericks,208.5
20151114,Spurs,194
20151114,Seventysixers,194
20151114,Suns,205.5
20151114,Nuggets,205.5
20151114,Warriors,208.5
20151114,Nets,208.5
20151114,Wizards,204.5
20151114,Magic,204.5
20151115,Hawks,193
20151115,Jazz,193
20151115,Hornets,204
20151115,Trailblazers,204
20151115,Kings,208
20151115,Raptors,208
20151115,Knicks,203
20151115,Pelicans,203
20151115,Lakers,200.5
20151115,Pistons,200.5
20151115,Thunder,210.5
20151115,Celtics,210.5
20151115,Timberwolves,195
20151115,Grizzlies,195
20151116,Bulls,197.5
20151116,Pacers,197.5
20151116,Grizzlies,200
20151116,Thunder,200
20151116,Rockets,207
20151116,Celtics,207
20151116,Seventysixers,201
20151116,Mavericks,201
20151116,Spurs,200.5
20151116,Trailblazers,200.5
20151116,Suns,207
20151116,Lakers,207
20151117,Heat,195.5
20151117,Timberwolves,195.5
20151117,Knicks,196.5
20151117,Hornets,196.5
20151117,Nets,197
20151117,Hawks,197
20151117,Pelicans,206
20151117,Nuggets,206
20151117,Pistons,194.5
20151117,Cavaliers,194.5
20151117,Warriors,208.5
20151117,Raptors,208.5
20151117,Wizards,200.5
20151117,Bucks,200.5
20151118,Celtics,207
20151118,Mavericks,207
20151118,Hawks,208.5
20151118,Kings,208.5
20151118,Hornets,196
20151118,Nets,196
20151118,Jazz,189
20151118,Raptors,189
20151118,Magic,204
20151118,Timberwolves,204
20151118,Rockets,210
20151118,Trailblazers,210
20151118,Seventysixers,191.5
20151118,Pacers,191.5
20151118,Spurs,196
20151118,Nuggets,196
20151118,Suns,203
20151118,Bulls,203
20151118,Thunder,212
20151118,Pelicans,212
20151119,Cavaliers,194
20151119,Bucks,194
20151119,Clippers,213
20151119,Warriors,213
20151119,Heat,203
20151119,Kings,203
20151120,Celtics,203.5
20151120,Nets,203.5
20151120,Grizzlies,200
20151120,Rockets,200
20151120,Hornets,197.5
20151120,Seventysixers,197.5
20151120,Lakers,203
20151120,Raptors,203
20151120,Mavericks,196
20151120,Jazz,196
20151120,Nuggets,206.5
20151120,Suns,206.5
20151120,Pelicans,200.5
20151120,Spurs,200.5
20151120,Thunder,206.5
20151120,Knicks,206.5
